ID,ชนิด,รหัสสินค้า,ชื่อ,เผยแพร่แล้ว,เป็นรายการเด่นหรือไม่,การมองเห็นในแค็ตตาล็อก,คำอธิบายแบบย่อ,รายละเอียด,วันเริ่มต้นลดราคา,วันสิ้นสุดการลดราคา,สถานะภาษี,กลุ่มภาษี,มีสินค้าในคลังสินค้า?,คลังสินค้า,สินค้าคงคลังเหลือน้อย,อนุญาตให้จองสินค้าหรือไม่,"จำกัดการขายแค่ 1 ชิ้นหรือไม่?","น้ำหนัก (กก.)","ยาว (มิลลิเมตร)","กว้าง (มิลลิเมตร)","สูง (มิลลิเมตร)",เปิดให้ผู้ใช้รีวิวสินค้า?,บันทึกในการสั่งซื้อ,ราคาที่ลด,ราคาปกติ,หมวดหมู่,ป้ายกำกับ,ประเภทการจัดส่ง,ไฟล์รูปภาพ,ลิมิตจำนวนดาวน์โหลด,วันหมดอายุดาวน์โหลด,หลัก,สินค้ากลุ่ม,Up-sells,Cross-sells,"URL ภายนอก",ข้อความของปุ่ม,ตำแหน่ง,"ชื่อคุณสมบัติ 1","ค่าคุณสมบัติ 1 ","คุณสมบัติภายนอกที่เห็นได้ 1","คุณสมบัติทั่วไป 1","Meta : _wp_page_template","Meta : woodmart_sguide_select","Meta : _woodmart_whb_header","Meta : _woodmart_product_design","Meta : _woodmart_single_product_style","Meta : _woodmart_thums_position","Meta : _woodmart_extra_position","Meta : _woodmart_main_layout","Meta : _woodmart_sidebar_width","Meta : _woodmart_custom_sidebar","Meta : product_table","Meta : eng_name","Meta : BT Type","Meta : MTA Type","Meta : L","Meta : C","Meta : Morse Taper","Meta : Inside MT","Meta : Outside MT","Meta : Clamping Range","Meta : D","Meta : NT Type","Meta : JT Type","Meta : H","Meta : Drawbar Thread","Meta : type","Meta : brand","Meta : model","Meta : Shank","Meta : Drill Chuck Type","Meta : Capacity","Meta : Taper Mount","Meta : _yoast_wpseo_title","Meta : _yoast_wpseo_metadesc","Meta : _yoast_wpseo_estimated-reading-time-minutes","Meta : _yoast_wpseo_wordproof_timestamp","Meta : woodmart_price_unit_of_measure","Meta : woodmart_total_stock_quantity","Meta : _max_price_for_range","Meta : _max_sale_price_for_range","Meta : _product_360_image_gallery","Meta : _woodmart_new_label","Meta : _woodmart_new_label_date","Meta : _woodmart_swatches_attribute","Meta : _woodmart_related_off","Meta : _woodmart_exclude_show_single_variation","Meta : _woodmart_product_video","Meta : _woodmart_product_hashtag","Meta : _woodmart_extra_content","Meta : _woodmart_product-background","Meta : _woodmart_hide_tabs_titles","Meta : _woodmart_product_custom_tab_title","Meta : _woodmart_product_custom_tab_content_type","Meta : _woodmart_product_custom_tab_content","Meta : _woodmart_product_custom_tab_html_block","Meta : _woodmart_product_custom_tab_title_2","Meta : _woodmart_product_custom_tab_content_type_2","Meta : _woodmart_product_custom_tab_content_2","Meta : _woodmart_product_custom_tab_html_block_2","Meta : _yoast_wpseo_primary_product_cat"
51053,simple,07NT50-JTA6,"Drill Chuck Holder NT50-JT6 M24",1,0,visible,"ด้าม NT ต่อหัวจับสว่าน สำหรับหัวจับสว่านอแด็ปเตอร์ JT, สำหรับต่อเข้ากับเทเปอร์เครื่องรุ่น NT30, NT40 , NT50\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,3150.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,2,"NT Drill Chuck Holder",,,,17.17,,,,,,NT50,JT6,26,"M24 x 3.0",,"Ann Way",07NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51054,simple,07R8-JT6,"Drill Chuck Holder R8-JT6",1,0,visible,"ด้ามต่อหัวจับสว่าน สำหรับหัวจับสว่านรุ่น JT (Jacob Taper) สามารถเลือกด้ามได้ 3 รุ่น ได้แก่ ด้าม MT, ด้ามตรง, ด้าม R8.\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1990.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,8,"Drill Chuck Holder",,,,,,,,,,,,,,R8,SRT,"07MTA, 07C20, 07R8",R8,JT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51055,simple,07MTA2-1,"Drill Sleeve MT1xMT2",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,398.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,1,"Drill Sleeve",,,89,,,1,2,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51056,simple,07MTA3-1,"Drill Sleeve MT1xMT3",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,502.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,2,"Drill Sleeve",,,100,,,1,3,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51057,simple,07MTA4-1,"Drill Sleeve MT1xMT4",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,637.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,4,"Drill Sleeve",,,124,,,1,4,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51058,simple,07MTA5-1,"Drill Sleeve MT1xMT5",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1330.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,7,"Drill Sleeve",,,156,,,1,5,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51059,simple,07MTA3-2,"Drill Sleeve MT2xMT3",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,454.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,3,"Drill Sleeve",,,112,,,2,3,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51060,simple,07MTA4-2,"Drill Sleeve MT2xMT4",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,637.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,5,"Drill Sleeve",,,124,,,2,4,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51061,simple,07MTA5-2,"Drill Sleeve MT2xMT5",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1226.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,8,"Drill Sleeve",,,156,,,2,5,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51062,simple,07MTA4-3,"Drill Sleeve MT3xMT4",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,581.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,6,"Drill Sleeve",,,140,,,3,4,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51063,simple,07MTA5-3,"Drill Sleeve MT3xMT5",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1186.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,9,"Drill Sleeve",,,156,,,3,5,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51064,simple,07MTA5-4,"Drill Sleeve MT4xMT5",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1186.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,10,"Drill Sleeve",,,167,,,4,5,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51065,simple,07MTA6-4,"Drill Sleeve MT4xMT6",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,4212.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,11,"Drill Sleeve",,,220,,,4,6,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51066,simple,07MTA6-5,"Drill Sleeve MT5xMT6",1,0,visible,"ปลอกสว่าน ปลอกลดขนาดมอสเทเปอร์ (MT) สำหรับสวมดอกสว่านก้านมอสเทเปอร์ หรือใช้เพิ่มขนาดมอสเทเปอร์\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,4212.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,12,"Drill Sleeve",,,224,,,5,6,,,,,,,,SRT,07MTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51158,simple,07CP-12303JT2,"Keyless Drill Chuck 0-10mm JT2",1,0,visible,"หัวจับสว่านรุ่น Keyless Drill Chuck รุ่นเปลี่ยนเร็วใช้มือหมุน\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1700.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,3,"Keyless Drill Chuck",,,,,,,,,,,,,,,"Ann Way",07CP,,,0.3-10mm,JT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51159,simple,07CP-12301JT1,"Keyless Drill Chuck 0-6mm JT1",1,0,visible,"หัวจับสว่านรุ่น Keyless Drill Chuck รุ่นเปลี่ยนเร็วใช้มือหมุน\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,2250.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,1,"Keyless Drill Chuck",,,,,,,,,,,,,,,"Ann Way",07CP,,,0.3-6mm,JT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51160,simple,07CP-12302JT1,"Keyless Drill Chuck 0-8mm JT1",1,0,visible,"หัวจับสว่านรุ่น Keyless Drill Chuck รุ่นเปลี่ยนเร็วใช้มือหมุน\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1600.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,2,"Keyless Drill Chuck",,,,,,,,,,,,,,,"Ann Way",07CP,,,0.3-8mm,JT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51161,simple,07BT40-MTA2-45,"Morse Taper Holder BT40 MTA2 L145",1,0,visible,"ด้าม BT ต่อหัวจับสว่านก้านเทเปอร์ MT\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,3700.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,1,"BT-MT Holder",BT40,MTA2,45,32,,,,,,,,,,,"Ann Way",07BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51162,simple,07BT40-MTA3-75,"Morse Taper Holder BT40 MTA3 L75",1,0,visible,"ด้าม BT ต่อหัวจับสว่านก้านเทเปอร์ MT\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,4890.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,2,"BT-MT Holder",BT40,MTA3,75,40,,,,,,,,,,,"Ann Way",07BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51163,simple,07BT40-MTA4-90,"Morse Taper Holder BT40 MTA4 L90",1,0,visible,"ด้าม BT ต่อหัวจับสว่านก้านเทเปอร์ MT\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,3800.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,3,"BT-MT Holder",BT40,MTA4,90,50,,,,,,,,,,,"Ann Way",07BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51164,simple,07BT50-MTA4-95,"Morse Taper Holder BT50 MTA4 L95",1,0,visible,"ด้าม BT ต่อหัวจับสว่านก้านเทเปอร์ MT\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,5600.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,4,"BT-MT Holder",BT50,MTA4,95,50,,,,,,,,,,,"Ann Way",07BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51172,simple,07C25-JT6,"Straight Shank Drill Chuck Holder C25 x JT6",1,0,visible,"ด้ามต่อหัวจับสว่าน สำหรับหัวจับสว่านรุ่น JT (Jacob Taper) สามารถเลือกด้ามได้ 3 รุ่น ได้แก่ ด้าม MT, ด้ามตรง, ด้าม R8.\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,287.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,6,"Drill Chuck Holder",,,,,,,,,,,,,,Straight,SRT,"07MTA, 07C20, 07R8",Ø25,JT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
